id_ps,ps,level,faculty,year,current_students,next_year_students,current_students_lag1
82001,Doktor Antropologi,S-3,Ilmu Budaya,2014,0.0,0.0,0.0
23001,Doktor Arsitektur,S-3,Teknik,2014,4.0,2.0,1.0
46001,Doktor Biologi,S-3,Biologi,2014,9.0,4.0,9.0
46002,Doktor Bioteknologi,S-3,Pascasarjana,2014,7.0,2.0,7.0
75001,Doktor Filsafat,S-3,Filsafat,2014,8.0,11.0,15.0
45001,Doktor Fisika,S-3,MIPA,2014,8.0,9.0,8.0
63002,Doktor Ilmu Administrasi Publik,S-3,ISIPOL,2014,2.0,3.0,2.0
62001,Doktor Ilmu Akuntansi,S-3,Ekonomika dan Bisnis,2014,16.0,5.0,14.0
60001,Doktor Ilmu Ekonomi,S-3,Ekonomika dan Bisnis,2014,4.0,5.0,3.0
48001,Doktor Ilmu Farmasi,S-3,Farmasi,2014,13.0,19.0,15.0
51001,Doktor Ilmu Geografi,S-3,Geografi,2014,10.0,10.0,10.0
74001,Doktor Ilmu Hukum,S-3,Hukum,2014,51.0,18.0,53.0
11001,Doktor Ilmu Kedokteran dan Kesehatan,S-3,KKMK,2014,38.0,37.0,53.0
12001,Doktor Ilmu Kedokteran Gigi,S-3,Kedokteran Gigi,2014,2.0,8.0,2.0
54051,Doktor Ilmu Kehutanan,S-3,Kehutanan,2014,9.0,14.0,14.0
95028,Doktor Ilmu Ketahanan Nasional,S-3,Pascasarjana,2014,0.0,0.0,0.0
55001,Doktor Ilmu Komputer,S-3,MIPA,2014,8.0,11.0,17.0
70001,Doktor Ilmu Komunikasi,S-3,ISIPOL,2014,0.0,0.0,0.0
95029,Doktor Ilmu Lingkungan,S-3,Pascasarjana,2014,8.0,6.0,6.0
61001,Doktor Ilmu Manajemen,S-3,Ekonomika dan Bisnis,2014,12.0,10.0,11.0
41021,Doktor Ilmu Pangan,S-3,Teknologi Pertanian,2014,7.0,12.0,11.0
54001,Doktor Ilmu Pertanian,S-3,Pertanian,2014,33.0,20.0,23.0
54031,Doktor Ilmu Peternakan,S-3,Peternakan,2014,8.0,6.0,9.0
67001,Doktor Ilmu Politik,S-3,ISIPOL,2014,11.0,6.0,9.0
73001,Doktor Ilmu Psikologi,S-3,Psikologi,2014,19.0,13.0,19.0
41001,Doktor Ilmu Teknik Pertanian,S-3,Teknologi Pertanian,2014,5.0,1.0,2.0
95031,Doktor Ilmu-Ilmu Humaniora,S-3,Ilmu Budaya,2014,17.0,13.0,30.0
76002,Doktor Inter-Religious Studies,S-3,Pascasarjana,2014,6.0,5.0,10.0
